Name,Interactive logon,Number of previous logons to cache (in case domain controller is not available),KeyName,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\CachedLogonsCount
Name,Network security,Minimum session security for NTLM SSP based (including secure RPC) servers,KeyName,MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\NTLMMinServerSec
Name,Microsoft network server,Server SPN target name validation level,KeyName,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\SmbServerNameHardeningLevel
Name,Network security,Allow LocalSystem NULL session fallback,KeyName,MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\allownullsessionfallback
Name,Network security,LDAP client signing requirements,KeyName,MACHINE\System\CurrentControlSet\Services\LDAP\LDAPClientIntegrity
Name,Network access,Restrict clients allowed to make remote calls to SAM,KeyName,MACHINE\System\CurrentControlSet\Control\Lsa\RestrictRemoteSAM
Name,Microsoft network server,Disconnect clients when logon hours expire,KeyName,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\EnableForcedLogOff
Name,Network access,Do not allow anonymous enumeration of SAM accounts,KeyName,MACHINE\System\CurrentControlSet\Control\Lsa\RestrictAnonymousSAM
Name,Shutdown,Allow system to be shut down without having to log on,KeyName,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\ShutdownWithoutLogon
Name,User Account Control,Behavior of the elevation prompt for administrators in Admin Approval Mode,KeyName,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorAdmin
Name,Domain member,Digitally encrypt secure channel data (when possible),KeyName,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\SealSecureChannel
Name,Interactive logon,Do not require CTRL+ALT+DEL,KeyName,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\DisableCAD
Name,Microsoft network server,Amount of idle time required before suspending session,KeyName,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\AutoDisconnect
Name,Interactive logon,Smart card removal behavior,KeyName,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\ScRemoveOption
Name,User Account Control,Only elevate executables that are signed and validated,KeyName,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\ValidateAdminCodeSignatures
Name,User Account Control,Virtualize file and registry write failures to per-user locations,KeyName,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\EnableVirtualization
Name,Network security,LAN Manager authentication level,KeyName,MACHINE\System\CurrentControlSet\Control\Lsa\LmCompatibilityLevel
Name,User Account Control,Allow UIAccess applications to prompt for elevation without using the secure desktop,KeyName,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\EnableUIADesktopToggle
Name,Domain member,Disable machine account password changes,KeyName,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\DisablePasswordChange
Name,Microsoft network server,Digitally sign communications (always),KeyName,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\RequireSecuritySignature
Name,Domain member,Maximum machine account password age,KeyName,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\MaximumPasswordAge
Name,Network security,Minimum session security for NTLM SSP based (including secure RPC) clients,KeyName,MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\NTLMMinClientSec
Name,Recovery console,Allow floppy copy and access to all drives and all folders,KeyName,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Setup\RecoveryConsole\SetCommand
Name,Network access,Shares that can be accessed anonymously,KeyName,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\NullSessionShares
