Number,Policy,Current_val,Min_val,Max_val,Compliant
Note:,Version:,0.0.0.5,,Max value excluede. Used (-)999999 for (-)infinity.
1.1.1,PasswordHistorySize,24,24,999999,True
1.1.2,MaximumPasswordAge,42,1,61,True
1.1.3,MinimumPasswordAge,5,1,999999,True
1.1.4,MinimumPasswordLength,8,14,999999,False
1.1.5,PasswordComplexity,1,1,2,True
1.1.6,ClearTextPassword,0,0,1,True
1.2.1,LockoutDuration,30,15,999999,True
1.2.2,LockoutBadCount,5,1,11,True
1.2.3,ResetLockoutCount,15,15,999999,True
